Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,year,Month,Weekday,Month_name,Spending Tier,Age Group
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,2023,11,Friday,November,3,26 to 35
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,2023,2,Monday,February,4,26 to 35
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,2023,1,Friday,January,1,36 to 50
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,2023,5,Sunday,May,3,36 to 50
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,2023,5,Saturday,May,2,26 to 35
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,2023,4,Tuesday,April,1,36 to 50
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,2023,3,Monday,March,1,36 to 50
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,2023,2,Wednesday,February,2,26 to 35
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,2023,12,Wednesday,December,3,51+
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,2023,10,Saturday,October,3,51+
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,2023,2,Tuesday,February,2,18 to 25
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,2023,10,Monday,October,2,26 to 35
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,2023,8,Saturday,August,4,18 to 25
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,2023,1,Tuesday,January,2,51+
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,2023,1,Monday,January,4,36 to 50
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,2023,2,Friday,February,4,18 to 25
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,2023,4,Saturday,April,2,26 to 35
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,2023,4,Sunday,April,1,36 to 50
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,2023,9,Saturday,September,1,51+
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,2023,11,Sunday,November,3,18 to 25
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,2023,1,Saturday,January,3,36 to 50
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,2023,10,Sunday,October,2,18 to 25
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,2023,4,Wednesday,April,2,26 to 35
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,2023,11,Wednesday,November,3,36 to 50
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,2023,12,Tuesday,December,1,51+
